department  gender yes no 
anthropol    0  21  41 
anthropol    1  32  81  
astronomy    0   3  8  
astronomy    1   6   0 
chemistry    0   34  110  
chemistry    1   12   43 
classics     0    4  0  
classics     1    3  1 
communicat   0    5  10  
communicat   1   52   149 
computersci  0    6  12  
computersci  1   8  7  
english      0   30  112 
english      1  35  100
geography    0    11  11 
geography    1    9  1
geology      0  15  6  
geology      1   6  3 
germanic    0     4  1  
germanic    1    17  0 
history     0     21  19 
history     1    9  9 
latinamer  0     25  16 
latinamer   1    26  7 
linguistics  0   7  8   
linguistics  1  21  10
mathematics  0   31  37  
mathematics  1   25  18 
philosophy   0    9  6   
philosophy   1    3  0  
physics      0   25   53  
physics      1    10   11 
polisci      0   39  49  
polisci      1   25  34 
psychology   0   4  41  
psychology   1   2  123
religion     0    0  2  
religion     1    3   3 
romancelang  0   6  3   
romancelang  1   29   13 
sociology   0    7  17 
sociology   1    16  33
statistics  0    36  14  
statistics  1    23  9  
zoology     0    10  54 
zoology    1    4  62 
