time histology stage count risktime 
1 1 1  9 157     
1 2 1  5  77     
1 3 1  1  21     
2 1 1  2 139     
2 2 1  2  68     
2 3 1  1  17     
3 1 1  9 126     
3 2 1  3  63     
3 3 1  1  14     
4 1 1 10 102     
4 2 1  2  55     
4 3 1  1  12     
5 1 1  1  88     
5 2 1  2  50     
5 3 1  0  10     
6 1 1  3  82     
6 2 1  2  45     
6 3 1  1   8     
7 1 1  1  76     
7 2 1  2  42     
7 3 1  0   6      
1 1 2 12 134
1 2 2  4  71
1 3 2  1  22
2 1 2  7 110
2 2 2  3  63
2 3 2  1  18
3 1 2  5  96
3 2 2  5  58
3 3 2  3  14
4 1 2 10  86
4 2 2  4  42
4 3 2  1  10
5 1 2  4  66
5 2 2  2  35
5 3 2  0   8
6 1 2  3  59
6 2 2  1  32
6 3 2  0   8
7 1 2  4  51
7 2 2  4  28
7 3 2  2   6
1 1 3 42 212 
1 2 3 28 130 
1 3 3 19 101 
2 1 3 26 136 
2 2 3 19  72 
2 3 3 11  63 
3 1 3 12  90 
3 2 3 10  42 
3 3 3  7  43 
4 1 3 10  64 
4 2 3  5  21 
4 3 3  6  32 
5 1 3  5  47 
5 2 3  0  14 
5 3 3  3  21 
6 1 3  4  39 
6 2 3  3  13 
6 3 3  3  14 
7 1 3  1  29 
7 2 3  2   7 
7 3 3  3  10 
