  crab  sat   y    weight  width  color  spine
    1    8    1    3.050    28.3     2     3
    2    0    0    1.550    22.5     3     3
    3    9    1    2.300    26.0     1     1
    4    0    0    2.100    24.8     3     3
    5    4    1    2.600    26.0     3     3
    6    0    0    2.100    23.8     2     3
    7    0    0    2.350    26.5     1     1
    8    0    0    1.900    24.7     3     2
    9    0    0    1.950    23.7     2     1
   10    0    0    2.150    25.6     3     3
   11    0    0    2.150    24.3     3     3
   12    0    0    2.650    25.8     2     3
   13   11    1    3.050    28.2     2     3
   14    0    0    1.850    21.0     4     2
   15   14    1    2.300    26.0     2     1
   16    8    1    2.950    27.1     1     1
   17    1    1    2.000    25.2     2     3
   18    1    1    3.000    29.0     2     3
   19    0    0    2.200    24.7     4     3
   20    5    1    2.700    27.4     2     3
   21    4    1    1.950    23.2     2     2
   22    3    1    2.300    25.0     1     2
   23    1    1    1.600    22.5     2     1
   24    2    1    2.600    26.7     3     3
   25    3    1    2.000    25.8     4     3
   26    0    0    1.300    26.2     4     3
   27    3    1    3.150    28.7     2     3
   28    5    1    2.700    26.8     2     1
   29    0    0    2.600    27.5     4     3
   30    0    0    2.100    24.9     2     3
   31    4    1    3.200    29.3     1     1
   32    0    0    2.600    25.8     1     3
   33    0    0    2.000    25.7     2     2
   34    8    1    2.000    25.7     2     1
   35    5    1    2.700    26.7     2     1
   36    0    0    1.850    23.7     4     3
   37    0    0    2.650    26.8     2     3
   38    6    1    3.150    27.5     2     3
   39    0    0    1.900    23.4     4     3
   40    6    1    2.800    27.9     2     3
   41    3    1    3.100    27.5     3     3
   42    5    1    2.800    26.1     1     1
   43    6    1    2.500    27.7     1     1
   44    5    1    3.300    30.0     2     1
   45    9    1    3.250    28.5     3     1
   46    4    1    2.800    28.9     3     3
   47    6    1    2.600    28.2     2     3
   48    4    1    2.100    25.0     2     3
   49    3    1    3.000    28.5     2     3
   50    3    1    3.600    30.3     2     1
   51    5    1    2.100    24.7     4     3
   52    5    1    2.900    27.7     2     3
   53    6    1    2.700    27.4     1     1
   54    4    1    1.600    22.9     2     3
   55    5    1    2.000    25.7     2     1
   56   15    1    3.000    28.3     2     3
   57    3    1    2.700    27.2     2     3
   58    3    1    2.300    26.2     3     3
   59    0    0    2.750    27.8     2     1
   60    0    0    2.250    25.5     4     3
   61    0    0    2.550    27.1     3     3
   62    5    1    2.050    24.5     3     3
   63    3    1    2.450    27.0     3     1
   64    5    1    2.150    26.0     2     3
   65    1    1    2.800    28.0     2     3
   66    8    1    3.050    30.0     2     3
   67   10    1    3.200    29.0     2     3
   68    0    0    2.400    26.2     2     3
   69    0    0    1.300    26.5     2     1
   70    3    1    2.400    26.2     2     3
   71    7    1    2.800    25.6     3     3
   72    1    1    1.650    23.0     3     3
   73    0    0    1.800    23.0     3     3
   74    6    1    2.250    25.4     2     3
   75    0    0    1.900    24.2     3     3
   76    0    0    1.600    22.9     2     2
   77    3    1    2.200    26.0     3     2
   78    4    1    2.250    25.4     2     3
   79    0    0    1.200    25.7     3     3
   80    5    1    2.100    25.1     2     3
   81    0    0    2.250    24.5     3     2
   82    0    0    2.900    27.5     4     3
   83    0    0    1.650    23.1     3     3
   84    4    1    2.550    25.9     3     1
   85    0    0    2.300    25.8     2     3
   86    3    1    2.250    27.0     4     3
   87    0    0    3.050    28.5     2     3
   88    0    0    2.750    25.5     4     1
   89    0    0    1.900    23.5     4     3
   90    0    0    1.700    24.0     2     2
   91    5    1    3.850    29.7     2     1
   92    0    0    2.550    26.8     2     1
   93    0    0    2.450    26.7     4     3
   94    0    0    3.200    28.7     2     1
   95    0    0    1.550    23.1     3     3
   96    1    1    2.800    29.0     2     1
   97    0    0    2.250    25.5     3     3
   98    1    1    1.967    26.5     3     3
   99    1    1    2.200    24.5     3     3
  100    1    1    3.000    28.5     3     3
  101    1    1    2.867    28.2     2     3
  102    1    1    1.600    24.5     2     3
  103    1    1    2.550    27.5     2     3
  104    4    1    2.550    24.7     2     2
  105    1    1    2.000    25.2     2     1
  106    1    1    2.900    27.3     3     3
  107    1    1    2.400    26.3     2     3
  108    1    1    3.100    29.0     2     3
  109    2    1    1.900    25.3     2     3
  110    4    1    2.300    26.5     2     3
  111    3    1    3.250    27.8     2     3
  112    6    1    2.500    27.0     2     3
  113    0    0    2.100    25.7     3     3
  114    2    1    2.100    25.0     2     3
  115    2    1    3.325    31.9     2     3
  116    0    0    1.800    23.7     4     3
  117   12    1    3.225    29.3     4     3
