  y  Year  Fcolor  Fsurf   FCW   AMCW  AMcolor  AMsurf 
  0  1993       1      1  20.2  18.10        5       5
  0  1993       1      3  23.0  13.50        5       5
  0  1993       5      5  22.6  16.70        5       3
  0  1993       5      5  20.8  16.00        5       4
  0  1993       3      4  23.3  15.30        5       3
  0  1993       5      3  22.9  16.20        5       3
  0  1993       1      3  21.1  15.10        3       4
  1  1993       1      4  21.1  17.40        3       4
  0  1993       1      4  19.8  15.10        5       3
  0  1993       1      4  24.1  15.20        5       3
  1  1993       3      3  20.5  16.60        5       3
  0  1993       3      3  21.3  16.60        5       3
  0  1993       1      3  21.9  17.20        5       4
  1  1993       3      2  24.9  16.20        5       4
  0  1993       3      2  23.0  17.30        5       4
  0  1993       5      5  23.6  18.00        3       1
  0  1993       3      5  22.5  16.20        1       3
  1  1993       3      4  22.6  15.00        5       1
  0  1993       5      4  25.8  15.20        3       3
  0  1993       3      3  22.1  15.20        1       3
  0  1993       3      3  20.3  17.00        1       3
  0  1993       1      1  23.5  17.50        1       4
  0  1993       3      2  23.0  16.90        1       4
  1  1993       3      2  21.4  15.40        3       3
  0  1993       1      4  24.0  16.50        3       3
  1  1993       1      4  20.6  17.60        3       3
  0  1994       5      3  21.1  13.30        5       5
  0  1994       5      3  24.2  15.50        5       5
  1  1994       5      3  20.8  16.90        5       5
  0  1994       5      3  22.0  17.10        5       5
  0  1994       1      4  23.5  16.20        5       5
  0  1994       5      5  22.9  16.50        5       4
  0  1994       5      2  21.3  17.20        5       2
  0  1994       5      3  25.5  14.90        3       4
  0  1994       5      3  22.8  16.00        5       3
  0  1994       5      4  21.7  14.60        5       3
  0  1994       5      4  24.5  18.00        5       3
  0  1994       5      3  21.0  15.10        5       4
  1  1994       3      5  23.6  17.30        5       4
  0  1994       5      3  20.4  16.90        5       4
  0  1994       5      3  23.0  16.30        5       4
  0  1994       1      3  22.8  13.60        5       3
  0  1994       3      2  22.4  15.70        5       3
  0  1994       3      3  25.6  16.00        5       4
  0  1994       3      3  23.3  15.50        3       2
  1  1994       3      3  25.4  16.50        5       1
  1  1995       5      3  23.6  16.80        5       5
  0  1995       3      3  20.5  16.80        5       5
