income   n   cards 
  12     1     0           
  13     1     0           
  14     8     2           
  15    14     2             
  16     9     0           
  17     8     2                  
  19     5     1                  
  20     7     0           
  21     2     0      
  22     1     1      
  24     2     0      
  25    10     2      
  26     1     0      
  29     1     0      
  30     5     2      
  32     6     6
  34     3     3 
  35     5     3 
  39     1     0 
  40     1     0 
  42     1     0 
  47     1     0 
  60     6     6 
  65     1     1 
