  state e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 
    Alab 0 0 0 0 0 0 0 0 0 0  
    Alas 0 0 0 0 0 0 0 0 0 0 
    Ariz 0 0 0 0 1 0 0 0 0 0 
    Arka 0 0 0 1 1 0 0 0 0 0 
    Cali 0 0 0 1 1 1 1 1 1 1 
    Colo 0 0 0 1 0 0 0 1 1 1 
    Conn 0 0 0 1 1 1 1 1 1 1 
    Dela 0 0 0 1 1 1 1 1 1 1 
    DisC 1 1 1 1 1 1 1 1 1 1 
    Flor 0 0 0 0 1 0 0 1 1 0 
    Geor 1 0 0 1 0 0 0 0 0 0 
    Hawa 1 0 1 1 1 1 1 1 1 1 
    Idah 0 0 0 0 0 0 0 0 0 0 
    Illi 0 0 0 1 1 1 1 1 1 1 
    Indi 0 0 0 0 0 0 0 1 0 0 
    Iowa 0 0 1 1 1 1 0 1 1 0 
    Kans 0 0 0 0 0 0 0 0 0 0 
    Kent 0 0 0 1 1 0 0 0 0 0 
    Loui 0 0 0 1 1 0 0 0 0 0 
    Main 0 0 0 1 1 1 1 1 1 1 
    Mary 1 0 0 1 1 1 1 1 1 1 
    Mass 0 0 1 1 1 1 1 1 1 1 
    Mich 0 0 0 1 1 1 1 1 1 0 
    Minn 1 1 1 1 1 1 1 1 1 1 
    Miss 0 0 0 0 0 0 0 0 0 0 
    Miso 0 0 0 1 1 0 0 0 0 0 
    Mont 0 0 0 1 0 0 0 0 0 0 
    Nebr 0 0 0 0 0 0 0 0 0 0 
    Neva 0 0 0 1 1 0 0 1 1 1 
    NewH 0 0 0 1 1 0 1 1 1 1 
    NewJ 0 0 0 1 1 1 1 1 1 1 
    NewM 0 0 0 1 1 1 0 1 1 1 
    NewY 0 0 1 1 1 1 1 1 1 1 
    NorC 0 0 0 0 0 0 0 1 0 0 
    NorD 0 0 0 0 0 0 0 0 0 0 
    Ohio 0 0 0 1 1 0 0 1 1 0 
    Okla 0 0 0 0 0 0 0 0 0 0 
    Oreg 0 0 1 1 1 1 1 1 1 1 
    Penn 0 0 0 1 1 1 1 1 1 0 
    Rhod 1 0 1 1 1 1 1 1 1 1 
    SouC 0 0 0 0 0 0 0 0 0 0 
    SouD 0 0 0 0 0 0 0 0 0 0 
    Tenn 0 0 0 1 1 0 0 1 0 0 
    Texa 0 0 0 0 0 0 0 0 0 0 
    Utah 0 0 0 0 0 0 0 0 0 0 
    Verm 0 0 0 1 1 1 1 1 1 1 
    Virg 0 0 0 0 0 0 0 1 1 1 
    Wash 0 0 1 1 1 1 1 1 1 1 
    WesV 1 0 1 1 1 0 0 0 0 0 
    Wisc 0 0 1 1 1 1 1 1 1 0 
    Wyom 0 0 0 0 0 0 0 0 0 0 
