     case    educ    size   source  response
       1       1       1       1       1
       1       1       1       2       0
       1       1       1       3       0
       1       1       1       4       0
       1       1       1       5       0
       2       1       1       1       0
       2       1       1       2       1
       2       1       1       3       0
       2       1       1       4       0
       2       1       1       5       0
       3       1       1       1       0
       3       1       1       2       1
       3       1       1       3       0
       3       1       1       4       0
       3       1       1       5       0
       4       1       1       1       0
       4       1       1       2       1
       4       1       1       3       0
       4       1       1       4       0
       4       1       1       5       0
       5       1       1       1       0
       5       1       1       2       1
       5       1       1       3       0
       5       1       1       4       0
       5       1       1       5       0
       6       1       1       1       0
       6       1       1       2       1
       6       1       1       3       0
       6       1       1       4       0
       6       1       1       5       0
       7       1       1       1       0
       7       1       1       2       0
       7       1       1       3       1
       7       1       1       4       0
       7       1       1       5       0
       8       1       1       1       0
       8       1       1       2       0
       8       1       1       3       1
       8       1       1       4       0
       8       1       1       5       0
       9       1       1       1       0
       9       1       1       2       0
       9       1       1       3       1
       9       1       1       4       0
       9       1       1       5       0
      10       1       1       1       0
      10       1       1       2       0
      10       1       1       3       1
      10       1       1       4       0
      10       1       1       5       0
      11       1       1       1       0
      11       1       1       2       0
      11       1       1       3       1
      11       1       1       4       0
      11       1       1       5       0
      12       1       1       1       0
      12       1       1       2       0
      12       1       1       3       1
      12       1       1       4       0
      12       1       1       5       0
      13       1       1       1       0
      13       1       1       2       0
      13       1       1       3       1
      13       1       1       4       0
      13       1       1       5       0
      14       1       1       1       0
      14       1       1       2       0
      14       1       1       3       0
      14       1       1       4       1
      14       1       1       5       0
      15       1       1       1       0
      15       1       1       2       0
      15       1       1       3       0
      15       1       1       4       1
      15       1       1       5       0
      16       1       1       1       0
      16       1       1       2       0
      16       1       1       3       0
      16       1       1       4       1
      16       1       1       5       0
      17       1       1       1       0
      17       1       1       2       0
      17       1       1       3       0
      17       1       1       4       1
      17       1       1       5       0
      18       1       1       1       0
      18       1       1       2       0
      18       1       1       3       0
      18       1       1       4       1
      18       1       1       5       0
      19       1       1       1       0
      19       1       1       2       0
      19       1       1       3       0
      19       1       1       4       1
      19       1       1       5       0
      20       1       1       1       0
      20       1       1       2       0
      20       1       1       3       0
      20       1       1       4       1
      20       1       1       5       0
      21       1       1       1       0
      21       1       1       2       0
      21       1       1       3       0
      21       1       1       4       0
      21       1       1       5       1
      22       1       1       1       0
      22       1       1       2       0
      22       1       1       3       0
      22       1       1       4       0
      22       1       1       5       1
      23       1       1       1       0
      23       1       1       2       0
      23       1       1       3       0
      23       1       1       4       0
      23       1       1       5       1
      24       1       1       1       0
      24       1       1       2       1
      24       1       1       3       0
      24       1       1       4       0
      24       1       1       5       1
      25       1       1       1       0
      25       1       1       2       1
      25       1       1       3       0
      25       1       1       4       0
      25       1       1       5       1
      26       1       1       1       0
      26       1       1       2       0
