  y      x1      x2     x3     
  0    -1.9    -5.3    -43       
  0    -0.1    -5.2    -32     
  0    ~0.8    -3.0    -12     
  0    ~0.9     3.4     ~1     
  1    -5.6   -13.1     -1     
  1    -2.4     1.8     -9      
  1    -2.0    -5.7     -7     
  1    -0.6    -2.4     -7     
  1    -0.1   -10.2     -5     
  1    ~0.4   -17.2     -9     
  1    ~1.1    -4.5    -15                           
  0    -1.5     3.9    -15 
  0     0.5    27.5      8 
  0     0.8    -1.6     -2 
  0     2.3    23.4     14 
  1    -5.3   -19.8    -33 
  1    -2.3    -7.4      4 
  1    -1.7    -3.9     13 
  1    -0.5   -14.5    -12 
  1    -0.1    -9.9    -11 
  1     0.7   -10.7    -10
  
