subject   gender     party   ideology 
  1       female       dem          1    
  2       female       dem          1    
  3       female       dem          1    
  4       female       dem          1    
  5       female       dem          1    
  6       female       dem          1    
  7       female       dem          1    
  8       female       dem          1    
  9       female       dem          1    
 10       female       dem          1    
 11       female       dem          1    
 12       female       dem          1    
 13       female       dem          1    
 14       female       dem          1    
 15       female       dem          1    
 16       female       dem          1    
 17       female       dem          1    
 18       female       dem          1    
 19       female       dem          1    
 20       female       dem          1    
 21       female       dem          1    
 22       female       dem          1    
 23       female       dem          1    
 24       female       dem          1    
 25       female       dem          1    
 26       female       dem          2    
 27       female       dem          2    
 28       female       dem          2    
 29       female       dem          2    
 30       female       dem          2    
 31       female       dem          2    
 32       female       dem          2    
 33       female       dem          2    
 34       female       dem          2    
 35       female       dem          2    
 36       female       dem          2    
 37       female       dem          2    
 38       female       dem          2    
 39       female       dem          2    
 40       female       dem          2    
 41       female       dem          2    
 42       female       dem          2    
 43       female       dem          2    
 44       female       dem          2    
 45       female       dem          2    
 46       female       dem          2    
 47       female       dem          2    
 48       female       dem          2    
 49       female       dem          2    
 50       female       dem          2    
 51       female       dem          2    
 52       female       dem          2    
 53       female       dem          2    
 54       female       dem          2    
 55       female       dem          2    
 56       female       dem          2    
 57       female       dem          2    
 58       female       dem          2    
 59       female       dem          2    
 60       female       dem          2    
 61       female       dem          2    
 62       female       dem          2    
 63       female       dem          2    
 64       female       dem          2    
 65       female       dem          2    
 66       female       dem          2    
 67       female       dem          2    
 68       female       dem          2    
 69       female       dem          2    
 70       female       dem          2    
 71       female       dem          2    
 72       female       dem          2    
 73       female       dem          2    
 74       female       dem          2    
 75       female       dem          2    
 76       female       dem          2    
 77       female       dem          2    
 78       female       dem          2    
 79       female       dem          2    
 80       female       dem          2    
 81       female       dem          2    
 82       female       dem          2    
 83       female       dem          2    
 84       female       dem          2    
 85       female       dem          2    
 86       female       dem          2    
 87       female       dem          2    
 88       female       dem          2    
 89       female       dem          2    
 90       female       dem          2    
 91       female       dem          2    
 92       female       dem          2    
 93       female       dem          2    
 94       female       dem          2    
 95       female       dem          2    
 96       female       dem          2    
 97       female       dem          2    
 98       female       dem          2    
 99       female       dem          2    
100       female       dem          2    
101       female       dem          2    
102       female       dem          2    
103       female       dem          2    
104       female       dem          2    
105       female       dem          2    
106       female       dem          2    
107       female       dem          2    
108       female       dem          2    
109       female       dem          2    
110       female       dem          2    
111       female       dem          2    
112       female       dem          2    
113       female       dem          2    
114       female       dem          2    
115       female       dem          2    
116       female       dem          2    
117       female       dem          2    
118       female       dem          2    
119       female       dem          2    
120       female       dem          2    
121       female       dem          2    
122       female       dem          2    
123       female       dem          2    
124       female       dem          2    
125       female       dem          2    
126       female       dem          2    
127       female       dem          2    
128       female       dem          2    
129       female       dem          2    
130       female       dem          2    
131       female       dem          3    
132       female       dem          3    
133       female       dem          3    
134       female       dem          3    
135       female       dem          3    
136       female       dem          3    
137       female       dem          3    
138       female       dem          3    
139       female       dem          3    
140       female       dem          3    
141       female       dem          3    
142       female       dem          3    
143       female       dem          3    
144       female       dem          3    
145       female       dem          3    
146       female       dem          3    
147       female       dem          3    
148       female       dem          3    
149       female       dem          3    
150       female       dem          3    
151       female       dem          3    
152       female       dem          3    
153       female       dem          3    
154       female       dem          3    
155       female       dem          3    
156       female       dem          3    
157       female       dem          3    
158       female       dem          3    
159       female       dem          3    
160       female       dem          3    
161       female       dem          3    
162       female       dem          3    
163       female       dem          3    
164       female       dem          3    
165       female       dem          3    
166       female       dem          3    
167       female       dem          3    
168       female       dem          3    
169       female       dem          3    
170       female       dem          3    
171       female       dem          3    
172       female       dem          3    
173       female       dem          3    
174       female       dem          3    
175       female       dem          3    
176       female       dem          3    
177       female       dem          3    
178       female       dem          3    
179       female       dem          3    
180       female       dem          3    
181       female       dem          3    
182       female       dem          3    
183       female       dem          3    
