 student  school  class     SC    TV  PTHK   THK     y 
   1       403    403101     1     0    2      3     1   
   2       403    403101     1     0    4      4     1   
   3       403    403101     1     0    4      3     1   
   4       403    403101     1     0    3      4     1   
   5       403    403101     1     0    3      4     1   
   6       403    403101     1     0    4      3     1   
   7       403    403101     1     0    2      2     0   
   8       403    403101     1     0    4      4     1   
   9       403    403101     1     0    5      5     1   
  10       403    403101     1     0    3      4     1   
  11       403    403101     1     0    3      3     1   
  12       403    403101     1     0    3      4     1   
  13       403    403101     1     0    1      3     1   
  14       403    403101     1     0    2      4     1   
  15       403    403101     1     0    2      2     0   
  16       403    403101     1     0    1      4     1   
  17       403    403101     1     0    4      4     1   
  18       403    403101     1     0    3      3     1   
  19       403    403101     1     0    0      3     1   
  20       403    403101     1     0    3      4     1   
  21       403    403102     1     0    0      2     0   
  22       403    403102     1     0    1      5     1   
  23       403    403102     1     0    5      3     1   
  24       404    404101     1     1    1      3     1   
  25       404    404101     1     1    2      4     1   
  26       404    404101     1     1    4      2     0   
  27       404    404101     1     1    3      3     1   
  28       404    404101     1     1    1      2     0   
  29       404    404101     1     1    1      1     0   
  30       404    404101     1     1    2      3     1   
  31       404    404101     1     1    0      5     1   
  32       404    404101     1     1    1      2     0   
  33       404    404101     1     1    2      3     1   
  34       404    404101     1     1    2      4     1   
  35       404    404102     1     1    1      3     1   
  36       404    404102     1     1    1      1     0   
  37       404    404102     1     1    0      0     0   
  38       404    404102     1     1    4      4     1   
  39       404    404102     1     1    1      5     1   
  40       404    404102     1     1    2      3     1   
  41       404    404102     1     1    1      3     1   
  42       404    404102     1     1    2      4     1   
  43       404    404102     1     1    2      2     0   
  44       404    404103     1     1    2      3     1   
  45       404    404103     1     1    1      2     0   
  46       404    404103     1     1    2      2     0   
  47       404    404103     1     1    1      3     1   
  48       404    404103     1     1    1      3     1   
  49       193    193101     0     0    1      2     0   
  50       193    193101     0     0    3      2     0   
  51       193    193101     0     0    0      3     1   
  52       193    193101     0     0    3      2     0   
  53       193    193101     0     0    1      1     0   
  54       193    193101     0     0    2      2     0   
  55       193    193101     0     0    3      4     1   
  56       193    193101     0     0    3      2     0   
  57       193    193101     0     0    3      3     1   
  58       193    193101     0     0    1      3     1   
  59       193    193101     0     0    5      1     0   
  60       193    193101     0     0    1      2     0   
  61       193    193101     0     0    3      1     0   
  62       193    193101     0     0    2      2     0   
  63       193    193101     0     0    0      1     0   
  64       193    193101     0     0    3      4     1   
  65       193    193101     0     0    4      3     1   
  66       193    193101     0     0    2      5     1   
  67       193    193101     0     0    2      4     1   
  68       193    193101     0     0    3      1     0   
  69       193    193101     0     0    2      3     1   
  70       193    193101     0     0    3      3     1   
  71       193    193101     0     0    1      2     0   
  72       193    193101     0     0    2      4     1   
