 e h c l count   
 1 1 1 1 62 
 1 1 1 2 17 
 1 1 1 3 5 
 1 1 2 1 90 
 1 1 2 2 42  
 1 1 2 3 3   
1 1 3 1 74 
1 1 3 2 31 
1 1 3 3 11 
1 2 1 1 11 
1 2 1 2 7 
1 2 1 3 0 
1 2 2 1 22 
1 2 2 2 18 
1 2 2 3 1 
1 2 3 1 19 
1 2 3 2 14 
1 2 3 3 3  
1 3 1 1 2 
1 3 1 2 3 
1 3 1 3 1 
1 3 2 1 2 
1 3 2 2 0 
1 3 2 3 1 
1 3 3 1 1 
1 3 3 2 3 
1 3 3 3 1 
2 1 1 1 11 
2 1 1 2 3 
2 1 1 3 0 
2 1 2 1 21 
2 1 2 2 13 
2 1 2 3 2 
2 1 3 1 20  
2 1 3 2 8 
2 1 3 3 3 
2 2 1 1 1 
2 2 1 2 4 
2 2 1 3 0   
2 2 2 1 6 
2 2 2 2 9 
2 2 2 3 0 
2 2 3 1 6 
2 2 3 2 5 
2 2 3 3 2 
2 3 1 1 1 
2 3 1 2 0 
2 3 1 3 1 
2 3 2 1 2 
2 3 2 2 1 
2 3 2 3 1 
2 3 3 1 4 
2 3 3 2 3 
2 3 3 3 1 
3 1 1 1 3 
3 1 1 2 0 
3 1 1 3 0 
3 1 2 1 2 
3 1 2 2 1 
3 1 2 3 0 
3 1 3 1 9 
3 1 3 2 2 
3 1 3 3 1 
3 2 1 1 1 
3 2 1 2 0 
3 2 1 3 0 
3 2 2 1 2 
3 2 2 2 1 
3 2 2 3 0 
3 2 3 1 4 
3 2 3 2 2 
3 2 3 3 0 
3 3 1 1 1 
3 3 1 2 0 
3 3 1 3 0 
3 3 2 1 0 
3 3 2 2 0 
3 3 2 3 0 
3 3 3 1 1 
3 3 3 2 2 
3 3 3 3 3 
