subject gender age hsgpa cogpa dhome dres tv sport news aids veg affil ideol relig abor affirm life 
1     0  32  2.2  3.5  0     5.0  3   5  0   0  0  2  6  2  0  0  1
2     1  23  2.1  3.5  1200  0.3  15  7  5   6  1  1  2  1  1  1  3
3     1  27  3.3  3.0  1300  1.5  0   4  3   0  1  1  2  2  1  1  3 
4     1  35  3.5  3.2  1500  8    5   5  6   3  0  3  4  1  1  1  2 
5     0  23  3.1  3.5  1600  10   6   6  3   0  0  3  1  0  1  0  2 
6     0  39  3.5  3.5  350   3    4   5  7   0  1  1  2  1  1  1  3
7     0  24  3.6  3.7   0    .2   5  12  4   2  0  3  2  1  1  1  1 
8     1  31  3.0  3.0  5000  1.5  5   3  3   1  0  3  2  1  1  1  1 
9     0  34  3.0  3.0  5000  2    7   5  3   0  0  3  1  1  1  1  3
10    0  28  4.0  3.1  900   2    1   1  2   1  1  3  3  0  0  1  1 
11    0  23  2.3  2.6  253   1.5  10 15  1   1  0  2  5  1  0  1  1 
12    1  27  3.5  3.6  190   3    14  3  7   0  0  1  2  1  1  1  3
13    0  36  3.3  3.5  245   1.5  6  15 12   5  0  1  1  1  1  1  1 
14    0  28  3.2  3.2  500   6    3  10  1   2  0  3  4  1  1  0  1
15    1  28  3.0  3.5  3500  1    4   3  1   0  0  1  1  0  1  1  1
16    1  25  3.8  3.3  210   10   7   6  1   0  1  3  2  3  1  1  1
17    1  41  4.0  3.0  1000  15   6   7  3  10  0  3  3  3  0  0  1
18    0  50  3.8  3.8  0     3    5   9  6  10  0  1  2  0  1  0  2 
19    0  71  4.0  3.5  5000  3    6  12  2   2  0  3  2  0  1  0  2 
20    1  28  3.0  3.8  120   1    25  0  0   2  1  1  1  1  1  1  1
21    1  26  3.7  3.7  8000  8    4   4  4   1  0  3  4  1  1  1  1
22    1  27  4.0  3.7  2     2.5  4   2  7   0  0  3  2  1  1  1  1
23    0  31  2.7  3.5  1700  5    7   7  2   0  0  2  7  3  0  0  1
24    1  23  3.7  3.7  2     2    7   4  2   0  0  3  4  0  1  1  1
25    0  23  3.2  3.8  450   4    0   7  7   3  0  3  1  0  1  1  1
26    1  44  3.0  3.0  0     2    2   3  2   3  1  3  3  2  1  1  1
27    0  26  3.7  3.0  1000  3    8   2  7   0  0  1  2  1  1  1  3
28    1  31  3.7  3.8  850  10    10  3  7   0  0  2  5  2  1  0  1 
29    0  24  3.3  3.1  420   2    10  6  5   0  0  1  4  1  1  1  3
30    1  26  3.3  3.3  1200  .75  10  0  3   0  0  2  2  1  1  1  3
31    0  26  3.3  3.5  1000  1.5  0   3  3   3  1  1  2  1  1  1  2 
32    1  32  3.5  3.9  150  12    10  2  0   0  0  1  2  1  0  0  1
33    0  26  3.4  3.4  2000  1.5  2   7 14   0  0  1  2  0  1  1  2 
34    1  22  3.2  2.8  316  2     10  3  5   2  0  3  2  1  1  1  3
35    1  24  3.5  3.9  900  1.75  8   0  0   1  0  1  1  1  1  1  3 
36    0  24  3.6  3.3  250   2    4   6  3   1  0  2  5  3  0  1  1 
37    0  23  3.8  3.7  180  .5    10  5  7   0  0  3  2  0  1  0  3
38    0  33  3.4  3.4  6000  1.5  8   5  6   2  0  3  2  0  1  1  2 
39    0  23  2.8  3.2  950   2    37  10 5   0  0  2  5  2  1  0  1 
40    0  31  3.8  3.5  1100  .75  .5  3  5   2  0  2  6  2  1  0  3
41    0  26  3.4  3.4  1300  1.2  0   8  2   0  0  3  2  1  0  1  2
42    0  28  2.0  3.0  360  .25  10   8  3   0  0  1  3  0  1  1  3
43    1  24  3.8  3.9  1800  2    2   5  4   1  0  2  6  3  0  1  1 
44    0  23  3.0  3.6  900   15  12   0  5   0  0  2  5  0  1  0  2 
45    1  25  3.0  4.0  5000  5   1.5  0  4   0  0  3  4  1  1  1  2
46    1  24  3.0  3.5  300   1   10   5  5   0  0  1  2  0  1  1  2
47    1  27  3.0  3.8  2000  20  28   7 14   2  1  2  3  1  1  1  1 
48    0  24  3.3  3.8  630   1.3  2   3  5   0  0  2  7  3  0  0  1
49    1  26  3.8  4.0  1200  1    0   4  3   1  0  1  2  0  1  1  2
50    1  27  3.0  4.0  580   2    5  15  1   2  0  1  1  1  1  1  2
51    0  32  3.0  3.0  2000  5    5   5  2   1  0  2  5  3  0  1  1
52    1  41  4.0  4.0  0     8    8   4  2   2  0  2  4  1  0  0  1
53    1  29  3.0  3.9  300  3.7   2   5  1  11  0  1  2  1  1  1  1
54    1  50  3.5  3.8  6    6     7   3  7   0  0  1  2  1  1  1  3
55    1  22  3.4  3.7  80   7    10   1  2   2  0  3  2  0  1  1  3
56    1  23  3.6  3.2  375  1.5  5    10 5   0  0  2  6  3  0  0  1
57    0  26  3.5  3.6  2000  .3  16   8  3   0  0  1  4  1  1  1  3
58    0  30  3.0  3.0  1    1.1  1    4  3   0  0  3  3  3  1  0  1
59    1  23  3.0  3.0  112  .5   15   3  3   0  0  3  4  2  1  1  1 
60    1  22  3.4  3.0  650  4    8   16  7   1  0  3  4  1  1  1  1
