 A C M R G count
 1 1 1 1 1 405 
 1 1 2 1 1 268 
 1 1 1 1 2 453 
 1 1 2 1 2 228
 1 1 1 2 1  23 
 1 1 2 2 1  23 
 1 1 1 2 2  30 
 1 1 2 2 2  19
 1 2 1 1 1  13 
 1 2 2 1 1 218  
 1 2 1 1 2  28 
 1 2 2 1 2 201
 1 2 1 2 1   2 
 1 2 2 2 1  19 
 1 2 1 2 2   1 
 1 2 2 2 2  18
 2 1 1 1 1   1 
 2 1 2 1 1  17 
 2 1 1 1 2   1 
 2 1 2 1 2  17
 2 1 1 2 1   0 
 2 1 2 2 1   1 
 2 1 1 2 2   1 
 2 1 2 2 2   8
 2 2 1 1 1   1 
 2 2 2 1 1 117 
 2 2 1 1 2   1 
 2 2 2 1 2 133
 2 2 1 2 1   0 
 2 2 2 2 1  12 
 2 2 1 2 2   0 
 2 2 2 2 2  17
