 Djokovic  Federer  Murray  Nadal  Wawrinka  nij  nji 
     1         -1      0      0      0       9    6 
     1          0     -1      0      0      14    3 
     1          0      0     -1      0       9    2 
     1          0      0      0     -1       4    3 
     0          1     -1      0      0       5    0    
     0          1      0     -1      0       5    1 
     0          1      0      0     -1       7    2 
     0          0      1     -1      0       2    4 
     0          0      1      0     -1       2    2 
     0          0      0      1     -1       4    3
