observ  group  litter  y 
  1       1      1     0  
  2       1      1     0  
  3       1      1     0  
  4       1      1     0  
  5       1      1     0  
  6       1      1     0  
  7       1      1     0  
  8       1      1     0  
  9       1      1     0  
 10       1      1     1  
 11       1      2     1  
 12       1      2     1  
 13       1      2     1  
 14       1      2     1  
 15       1      2     0  
 16       1      2     0  
 17       1      2     0  
 18       1      2     0  
 19       1      2     0  
 20       1      2     0  
 21       1      2     0  
 22       1      3     1  
 23       1      3     1  
 24       1      3     1  
 25       1      3     1  
 26       1      3     1  
 27       1      3     1  
 28       1      3     1  
 29       1      3     1  
 30       1      3     1  
 31       1      3     0  
 32       1      3     0  
 33       1      3     0  
 34       1      4     1  
 35       1      4     1  
 36       1      4     1  
 37       1      4     1  
 38       1      5     1  
 39       1      5     1  
 40       1      5     1  
 41       1      5     1  
 42       1      5     1  
 43       1      5     1  
 44       1      5     1  
 45       1      5     1  
 46       1      5     1  
 47       1      5     1  
 48       1      6     1  
 49       1      6     1  
 50       1      6     1  
 51       1      6     1  
 52       1      6     1  
 53       1      6     1  
 54       1      6     1  
 55       1      6     1  
 56       1      6     1  
 57       1      6     0  
 58       1      6     0  
 59       1      7     1  
 60       1      7     1  
 61       1      7     1  
 62       1      7     1  
 63       1      7     1  
 64       1      7     1  
 65       1      7     1  
 66       1      7     1  
 67       1      7     1  
 68       1      8     1  
 69       1      8     1  
 70       1      8     1  
 71       1      8     1  
 72       1      8     1  
 73       1      8     1  
 74       1      8     1  
 75       1      8     1  
 76       1      8     1  
 77       1      8     1  
 78       1      8     1  
 79       1      9     1  
 80       1      9     1  
 81       1      9     1  
 82       1      9     1  
 83       1      9     1  
 84       1      9     1  
 85       1      9     1  
 86       1      9     1  
 87       1      9     1  
 88       1      9     1  
 89       1     10     1  
 90       1     10     1  
 91       1     10     1  
 92       1     10     1  
 93       1     10     1  
 94       1     10     1  
 95       1     10     1  
 96       1     10     0  
 97       1     10     0  
 98       1     10     0  
 99       1     11     1  
100       1     11     1  
101       1     11     1  
102       1     11     1  
103       1     11     1  
104       1     11     1  
105       1     11     1  
106       1     11     1  
107       1     11     1  
108       1     11     1  
109       1     11     1  
110       1     11     1  
111       1     12     1  
112       1     12     1  
113       1     12     1  
114       1     12     1  
115       1     12     1  
116       1     12     1  
117       1     12     1  
118       1     12     1  
119       1     12     1  
120       1     12     0  
121       1     13     1  
122       1     13     1  
123       1     13     1  
124       1     13     1  
125       1     13     1  
126       1     13     1  
127       1     13     1  
128       1     13     1  
129       1     14     1  
130       1     14     1  
131       1     14     1  
132       1     14     1  
133       1     14     1  
134       1     14     1  
135       1     14     1  
136       1     14     1  
137       1     14     1  
138       1     14     0  
139       1     14     0  
140       1     15     1  
141       1     15     1  
142       1     15     1  
143       1     15     1  
144       1     15     0  
145       1     15     0  
146       1     16     1  
147       1     16     1  
148       1     16     1  
149       1     16     1  
150       1     16     1  
151       1     16     1  
152       1     16     1  
153       1     16     0  
154       1     16     0  
155       1     17     1  
156       1     17     1  
157       1     17     1  
158       1     17     1  
159       1     17     1  
160       1     17     1  
161       1     17     1  
162       1     17     1  
163       1     17     1  
164       1     17     1  
165       1     17     1  
166       1     17     1  
167       1     17     1  
168       1     17     1  
169       1     18     1  
170       1     18     1  
171       1     18     1  
172       1     18     1  
173       1     18     1  
174       1     18     1  
175       1     18     1  
176       1     18     0  
177       1     18     0  
178       1     18     0  
179       1     18     0  
180       1     18     0  
181       1     19     1  
182       1     19     1  
183       1     19     1  
184       1     19     1  
185       1     19     1  
186       1     19     1  
187       1     19     1  
188       1     19     1  
189       1     19     1  
190       1     19     0  
191       1     19     0  
192       1     20     1  
193       1     20     1  
194       1     20     1  
195       1     20     1  
196       1     20     1  
197       1     20     1  
198       1     20     1  
199       1     20     1  
200       1     20     0  
201       1     20     0  
202       1     20     0  
203       1     20     0  
204       1     20     0  
205       1     21     1  
206       1     21     1  
207       1     21     1  
208       1     21     1  
209       1     21     1  
210       1     21     0  
211       1     21     0  
212       1     21     0  
213       1     21     0  
214       1     21     0  
215       1     21     0  
216       1     21     0  
217       1     21     0  
218       1     21     0  
219       1     22     1  
220       1     22     1  
221       1     22     1  
222       1     22     1  
223       1     22     1  
224       1     22     1  
225       1     22     1  
226       1     22     1  
227       1     22     1  
228       1     22     1  
229       1     23     1  
230       1     23     1  
231       1     23     1  
232       1     23     1  
233       1     23     1  
234       1     23     1  
235       1     23     1  
236       1     23     1  
237       1     23     1  
238       1     23     1  
239       1     23     0  
240       1     23     0  
241       1     24     1  
242       1     24     1  
243       1     24     1  
244       1     24     1  
245       1     24     1  
246       1     24     1  
247       1     24     1  
248       1     24     1  
249       1     24     0  
250       1     24     0  
251       1     24     0  
252       1     24     0  
253       1     24     0  
254       1     25     1  
255       1     25     1  
256       1     25     1  
257       1     25     1  
258       1     25     1  
259       1     25     1  
260       1     25     1  
261       1     25     1  
262       1     25     1  
263       1     25     1  
264       1     26     1   
265       1     26     1  
266       1     26     1  
267       1     26     0  
268       1     26     0  
269       1     26     0  
270       1     26     0  
271       1     26     0  
272       1     26     0  
273       1     26     0  
274       1     26     0  
275       1     26     0  
276       1     26     0  
277       1     26     0  
278       1     27     1  
279       1     27     1  
280       1     27     1  
281       1     27     1  
282       1     27     1  
283       1     27     1  
284       1     27     1  
285       1     27     1  
286       1     27     1  
287       1     27     1  
288       1     27     1  
289       1     27     1  
290       1     27     1  
291       1     28     1  
292       1     28     1  
293       1     28     1  
294       1     28     0  
295       1     29     1  
296       1     29     1  
297       1     29     1  
298       1     29     1  
299       1     29     1  
300       1     29     1  
301       1     29     1  
302       1     29     1  
303       1     30     1  
304       1     30     1  
305       1     30     1  
306       1     30     1  
307       1     30     1  
308       1     30     0  
309       1     30     0  
310       1     30     0  
311       1     30     0  
312       1     30     0  
